YEAR,STATE,ABBREV,CODE,ELECTORS,BALLOTS,ABSTAIN,BLANK,INVALID,VALID,PT,PMDB,PSDB,PFL,PP,PPrB,PPoB,PPR,PSB,PDT,PTB,PL,PPS,PV,PCdoB,PSC,PSOL,PRONA,PMN,PTC,PHS,PSDC,PSD,PTdoB,PAN,PRB,PSocL,PSolL,PRepP,PRenP,PRTB,PTraN,PTanN,PSTU,PCB,PCO,DEM,PR,PST  ,PSD  ,PGT  ,PSN  ,PRN  ,PDS ,PDC ,PTR ,PRS ,PCN ,PAS ,PD ,PLH ,PNT ,PSU ,PAP ,PS ,PEB ,PBM ,PMB,PH,PMC,PASART,PND,PRT,PNR,PJ,PN,PDI,PEN,PPL,PROS,PRP,PSL,PTN,SD
2010,Pernambuco ,PE,26,6256213,5041936,1214277,429748,161988,4450200,679581,162575,360707,,396399,,,,1092786,174191,353540,,12832,43256,134275,77335,8131,,18876,24980,72803,24514,,1622,,77293,35074,,15224,,51366,6898,,3082,3432,,334381,285047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Alagoas ,AL,27,2033483,1583844,449639,105310,63185,1415349,85359,254870,263762,,102066,,,,98318,17397,292107,,3475,2555,6245,21056,14816,,55728,409,3950,908,,92358,,12513,884,,2766,,4465,1205,,,749,,19653,57735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sergipe ,SE,28,1425334,1184869,240465,91302,65078,1028489,236860,139944,15035,,6511,,,,107819,67320,4064,,26081,15841,6063,109720,1705,,3081,1097,1641,,,3985,,63495,1452,,1769,,1678,184,,4781,2269,,124641,81453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bahia ,BA,29,9544368,7486735,2057633,461490,341234,6684011,1677907,633167,413937,,609564,,,,163135,429563,190364,,61657,142387,356089,178098,17622,,49978,32033,47209,10235,,22342,,252344,8053,,75648,,3384,9536,,3646,0,,968553,327560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Minas Gerais ,MG,31,14513934,11838442,2675492,889536,535571,10413335,1819658,1066139,1606882,,797270,,,,175585,486408,297387,,445628,451949,198723,223273,36288,,183811,188076,157119,34678,,223764,,101113,188413,,13519,,51842,33104,,8582,6632,1478,747812,868202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Espírito Santo ,ES,32,2521991,2083045,438946,139580,57194,1886271,164128,309306,106865,,65097,,,,396397,321211,113805,,55243,53290,4217,99211,9980,,12849,1582,11159,,,477,,11221,1228,,2552,,866,458,,,,,8405,136724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rio de Janeiro  ,RJ,33,11584083,9572486,2011597,722753,839783,8009950,804050,1409589,320012,,396100,,,,483648,473202,143681,,157308,341661,278791,297028,320244,,86291,32485,80327,58502,,158069,,273437,59374,,27540,,120475,46464,,13345,6400,,419563,1202364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,São Paulo ,SP,35,30289723,25310267,4979456,1843840,1498984,21967443,4158508,460653,4169596,,1405043,,,,2103214,883108,676326,,725799,1716592,446087,628389,319147,,140248,126004,43753,11654,,19147,,281371,54686,,62839,,6107,53974,,23036,7773,4108,1512179,1928102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Paraná ,PR,41,7597999,6347623,1250376,411429,218573,5717621,700187,987388,681350,,417418,,,,243475,167378,242509,,356437,283215,77345,715784,13233,,33486,17871,72005,16732,,3690,,71173,5887,,20252,,3358,1228,,7092,3059,,338816,237253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Santa Catarina ,SC,42,4536718,3900064,636654,282998,145990,3471076,612077,867531,422979,,477786,,,,22088,97468,65976,,86895,44915,58696,13674,6750,,1913,2603,1570,465,,260,,37780,606,,3713,,999,,,4218,1169,,590610,48335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Rio Grande do Sul ,RS,43,8107550,6902902,1204648,524822,212745,6165335,1533623,777321,318018,,819352,,,,344335,518921,588215,,39009,76732,561644,67495,179578,,4007,2606,2024,1009,,1182,,69209,1559,,9812,,,746,,8579,1957,,218827,19575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mato Grosso do Sul ,MS,50,1700912,1392464,308448,69547,41682,1281235,296967,349572,155499,,57343,,,,43188,33135,7905,,12333,5535,1374,6967,5544,,9851,527,2503,6647,,5011,,23882,1751,,1694,,146,527,,,,,103354,149980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mato Grosso ,MT,51,2094032,1655212,438820,88033,60363,1506816,189750,154214,197465,,275155,,,,106491,42663,21049,,53810,8683,24270,769,2544,,1567,8738,32254,,,2303,,677,,,2447,,,470,,,,,94954,286543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Goiás ,GO,52,4058912,3329636,729276,224110,117283,2988243,294361,554538,555461,,270300,,,,1558,201550,220500,,4526,14077,37013,10718,6209,,107037,8221,62883,209,,1821,,54069,25066,,4187,,11980,1604,,1941,0,,378452,159962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Distrito Federal ,DF,53,1833942,1550765,283177,87395,57287,1406083,374806,87080,38667,,4123,,,,10776,282076,64904,,26005,41491,7283,59999,12291,,103344,2198,11896,1404,,979,,33414,2746,,1890,,4369,778,,1354,449,192,63172,168397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,BRASIL ,BRASIL ,BRASIL ,135523622,111038684,24484897,7506834,5218179,98313670,16508091,12712856,11479666,,7205238,,,,6880342,4946128,4141686,,2536809,3709648,2783936,3055887,1144216,,1112593,595647,764412,191835,,642422,,1760396,506653,,305940,,318074,184588,,102120,57563,6660,7301171,7359093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Rondônia ,RO,11,988631,785916,202715,34347,23325,728244,136860,157969,21390,1502,25899,,,,65397,33924,44700,23893,132633,40561,5042,692,  ,1103,857,  ,1215,5275,,246,520,  ,2651,,  ,,1405,24510,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Acre ,AC,12,412840,334418,78422,7209,7912,319297,69643,28548,20854,1314,57914,,,,8899,19951,361,15037,33136,531,30017,  ,1905,  ,28844,  ,  ,826,,215,  ,  ,  ,,710,,195,397,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Amazonas ,AM,13,1781316,1464976,316270,50004,22234,1392738,157264,219012,9711,165524,238420,,,,131379,15991,108672,86268,8034,9527,97456,421,1730,66278,31867,281,19050,1831,,  ,11367,  ,1340,,3343,,1264,4891,,1085,501,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Roraima ,RR,14,233596,199240,34357,4665,3643,190932,5150,11732,23473,33030,16636,,,,10319,7627,11076,23534,5662,9194,1934,1063,2089,255,70,9651,2249,826,,1601,3049,1630,  ,,833,,3604,4453,,  ,  ,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Pará ,PA,15,4157735,3333678,824058,126509,88717,3118452,415258,900775,584831,266610,132936,,,,40183,142088,161826,70087,57065,37421,56561,100057,42124,1622,4021,20877,3072,2297,,5658,855,55403,  ,,3745,,300,4732,,6513,1535,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Amapá ,AP,16,360614,309127,51487,4967,18584,285576,33824,63430,12359,19729,6656,,,,43269,30791,2513,15479,26893,2551,10717,6761,  ,666,2384,  ,  ,  ,,590,  ,  ,1597,,  ,,421,3395,,766,785,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Tocantins ,TO,17,882728,722081,160646,16727,15387,689967,65461,188726,119724,133881,103692,,,,14224,16952,1264,2813,7969,8230,2605,12624,4307,1155,  ,567,478,421,,46,379,  ,371,,3222,,587,269,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Maranhão ,MA,21,3920608,3103527,817081,113387,111751,2878389,225493,375619,662782,225071,63071,,,,268543,318895,125565,34179,10066,165486,128418,60301,6348,4027,8106,10565,17648,4807,,6517,89484,23456,11076,,7070,,17495,1402,,6899,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Piauí ,PI,22,2073504,1738648,334856,72766,50795,1615087,292358,276725,230770,266505,118680,,,,75519,39669,152762,6893,4789,13027,102925,4815,4817,3924,6458,763,2043,1382,,2017,366,  ,1426,,  ,,1102,  ,,1319,1963,2070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Ceará ,CE,23,5361581,4429568,932013,190408,114853,4124307,407371,907666,869387,62611,121729,,,,870862,129910,133787,146120,18808,70068,184662,1527,89988,7239,8521,3462,23397,8131,,579,6174,  ,21329,,12027,,384,11022,,2490,2598,2458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
